scen_id,src_node,node_id,dist_src,peak_conc,t_peak_min,mean_flow_m3s,detected
0001,Aux3,J3,-1,0.0,,0.0,0
0001,Aux3,J4,-1,0.0,,0.0,0
0001,Aux3,J5,-1,0.0,,0.0,0
0001,Aux3,J6,-1,0.0,,0.0,0
0001,Aux3,J7,-1,0.0,,0.005328,0
0001,Aux3,J8,-1,0.0,,0.0,0
0001,Aux3,J9,-1,0.0,,0.0,0
0001,Aux3,J10,-1,0.0,,0.0,0
0001,Aux3,J11,-1,0.0,,0.002656,0
0001,Aux3,O1,-1,0.0,,0.002597,0
0001,Aux3,Aux3,-1,4608.639,6471.0,0.002349,1
0001,Aux3,J1,-1,0.0,,0.003977,0
0001,Aux3,JI7,-1,0.0,,0.003976,0
0001,Aux3,J2a,-1,0.0,,0.004598,0
0001,Aux3,J2,-1,0.0,,0.0046,0
0001,Aux3,JI9,-1,0.0,,0.004544,0
0001,Aux3,JI6,-1,4310.331,6473.0,0.002347,1
0001,Aux3,J13,-1,0.0,,0.005316,0
0001,Aux3,J12,-1,0.0,,0.006317,0
0001,Aux3,JI8,-1,0.0,,0.006282,0
0001,Aux3,JI1,-1,4310.331,6474.0,0.002255,1
0001,Aux3,JI2,-1,1718.637,6490.0,0.006212,1
0001,Aux3,JI3,-1,945.4168,6531.0,0.011453,1
0001,Aux3,JI4,-1,622.6514,6791.0,0.017415,1
0001,Aux3,JI5,-1,508.2502,6833.0,0.02165,1
0001,Aux3,Well,-1,388.5305,7253.0,0.02152,1
0001,Aux3,JI10,-1,386.4248,7143.0,0.020909,1
0001,Aux3,JI11,-1,194.8687,12882.0,0.018464,1
0001,Aux3,JI12,-1,133.7828,18381.0,0.013568,1
0001,Aux3,JI13,-1,93.2148,16623.0,0.008965,1
0001,Aux3,O2,-1,48.128,16624.0,0.00831,1
0001,Aux3,entry,-1,0.0,,0.0,0
0004,JI6,J3,-1,0.0,,0.0,0
0004,JI6,J4,-1,0.0,,0.0,0
0004,JI6,J5,-1,0.0,,0.0,0
0004,JI6,J6,-1,0.0,,0.0,0
0004,JI6,J7,-1,0.0,,0.005405,0
0004,JI6,J8,-1,0.0,,0.0,0
0004,JI6,J9,-1,0.0,,0.0,0
0004,JI6,J10,-1,0.0,,0.0,0
0004,JI6,J11,-1,0.0,,0.002696,0
0004,JI6,O1,-1,0.0,,0.002636,0
0004,JI6,Aux3,-1,0.0,,0.002328,0
0004,JI6,J1,-1,0.0,,0.004035,0
0004,JI6,JI7,-1,0.0,,0.004034,0
0004,JI6,J2a,-1,0.0,,0.004665,0
0004,JI6,J2,-1,0.0,,0.004667,0
0004,JI6,JI9,-1,0.0,,0.004609,0
0004,JI6,JI6,-1,573.4801,8771.0,0.002389,1
0004,JI6,J13,-1,0.0,,0.005394,0
0004,JI6,J12,-1,0.0,,0.006408,0
0004,JI6,JI8,-1,0.0,,0.006373,0
0004,JI6,JI1,-1,573.4801,8772.0,0.002296,1
0004,JI6,JI2,-1,356.1691,8773.0,0.006311,1
0004,JI6,JI3,-1,227.0488,8776.0,0.011627,1
0004,JI6,JI4,-1,159.6372,8791.0,0.017673,1
0004,JI6,JI5,-1,130.9612,8804.0,0.021967,1
0004,JI6,Well,-1,39.1585,9308.0,0.021835,1
0004,JI6,JI10,-1,30.2573,11921.0,0.021223,1
0004,JI6,JI11,-1,15.4089,12250.0,0.018739,1
0004,JI6,JI12,-1,5.4485,18102.0,0.013769,1
0004,JI6,JI13,-1,2.3273,18102.0,0.009096,0
0004,JI6,O2,-1,0.8962,17622.0,0.008425,0
0004,JI6,entry,-1,0.0,,0.0,0
0005,J6,J3,-1,0.0,,0.0,0
0005,J6,J4,-1,0.0,,0.0,0
0005,J6,J5,-1,0.0,,0.0,0
0005,J6,J6,-1,798.6111,9109.0,6.7e-05,1
0005,J6,J7,-1,0.0,,0.005324,0
0005,J6,J8,-1,798.6111,9909.0,5.8e-05,1
0005,J6,J9,-1,788.3158,10045.0,5.5e-05,1
0005,J6,J10,-1,709.4135,10130.0,4.9e-05,1
0005,J6,J11,-1,646.4599,10532.0,0.002702,1
0005,J6,O1,-1,646.352,10560.0,0.002643,1
0005,J6,Aux3,-1,0.0,,0.002292,0
0005,J6,J1,-1,0.0,,0.003974,0
0005,J6,JI7,-1,0.0,,0.003974,0
0005,J6,J2a,-1,0.0,,0.004595,0
0005,J6,J2,-1,0.0,,0.004598,0
0005,J6,JI9,-1,0.0,,0.004542,0
0005,J6,JI6,-1,0.0,,0.002291,0
0005,J6,J13,-1,0.0,,0.005313,0
0005,J6,J12,-1,0.0,,0.006313,0
0005,J6,JI8,-1,0.0,,0.006279,0
0005,J6,JI1,-1,0.0,,0.002201,0
0005,J6,JI2,-1,0.0,,0.006156,0
0005,J6,JI3,-1,0.0,,0.011394,0
0005,J6,JI4,-1,0.0,,0.017356,0
