feature,importance_xgb,importance_lgbm
peak_conc_mean,0.29518408,130
node_type_code,0.14917937,5
betweenness,0.14199863,76
n_upstream_nodes,0.14059116,25
time_to_peak_mean,0.08930943,71
mean_contaminant_flux,0.05587747,46
peak_conc_std,0.048711594,4
mean_flow_m3s,0.044979945,139
mean_wastewater_flux,0.012243552,41
contaminant_flux_std,0.009778836,4
topo_depth,0.00937114,34
downstream_paths,0.001743058,0
is_high_risk,0.0006814568,0
flow_diversion_fraction,0.00035026856,1
prior_contam_prob,0.0,0
