model,mae,rmse,r2,rank_corr,train_time_s
Prior_A_Uniform,0.2059,0.2824,-1.0293,-0.2451,
Prior_B_Topo,0.2034,0.2765,-0.9456,0.3821,
Prior_C_Flow,0.2013,0.269,-0.8415,0.3113,
Prior_D_approx,0.2013,0.269,-0.8415,0.3069,
XGBoost,0.0371,0.0457,0.9468,0.9453,
LightGBM,0.0441,0.0609,0.9055,0.9374,5.29
MLP,0.0413,0.0677,0.8835,0.9289,19.24
